accuracy,loss,val_accuracy,val_loss,learning_rate,stage,epoch
0.4023178815841675,1.836870789527893,0.5669291615486145,1.1332124471664429,0.0003000000142492354,head,1
0.6241722106933594,1.1741995811462402,0.6377952694892883,1.0196844339370728,0.0003000000142492354,head,2
0.6986755132675171,0.9127854108810425,0.6929134130477905,0.83823162317276,0.0003000000142492354,head,3
0.7400662302970886,0.7879183888435364,0.748031497001648,0.7050204873085022,0.0003000000142492354,head,4
0.7781456708908081,0.6471055150032043,0.7637795209884644,0.681189775466919,0.0003000000142492354,head,5
0.804635763168335,0.6252020597457886,0.748031497001648,0.7051748633384705,0.0003000000142492354,head,6
0.7864238619804382,0.624599277973175,0.7637795209884644,0.702488899230957,0.0003000000142492354,head,7
0.8311258554458618,0.5056610107421875,0.7637795209884644,0.6733596920967102,0.0003000000142492354,head,8
0.8311258554458618,0.5017420053482056,0.7637795209884644,0.6330030560493469,0.0003000000142492354,head,9
0.8195364475250244,0.5103326439857483,0.748031497001648,0.6909002065658569,0.0003000000142492354,head,10
0.8509933948516846,0.45036688446998596,0.748031497001648,0.7402932643890381,0.0003000000142492354,head,11
0.8427152037620544,0.4606302082538605,0.7401574850082397,0.7214536666870117,0.0003000000142492354,head,12
0.8576158881187439,0.3962697982788086,0.7322834730148315,0.7052273154258728,9.000000136438757e-05,head,13
0.7864238619804382,0.6119235157966614,0.7401574850082397,0.6976519227027893,9.999999747378752e-06,fine_tuning,14
0.8178808093070984,0.5496212244033813,0.7795275449752808,0.6824114918708801,9.999999747378752e-06,fine_tuning,15
0.8211920261383057,0.5101134181022644,0.7795275449752808,0.6620084047317505,9.999999747378752e-06,fine_tuning,16
0.8245033025741577,0.5384324193000793,0.7716535329818726,0.6445775032043457,2.9999998787388904e-06,fine_tuning,17
0.8344370722770691,0.5151265263557434,0.7795275449752808,0.6327587366104126,2.9999998787388904e-06,fine_tuning,18
0.8278145790100098,0.5355481505393982,0.787401556968689,0.632899820804596,2.9999998787388904e-06,fine_tuning,19
0.8592715263366699,0.467678040266037,0.787401556968689,0.6325387954711914,2.9999998787388904e-06,fine_tuning,20
0.8576158881187439,0.4517208933830261,0.787401556968689,0.6338779926300049,2.9999998787388904e-06,fine_tuning,21
0.8592715263366699,0.40916067361831665,0.7637795209884644,0.6318851709365845,2.9999998787388904e-06,fine_tuning,22
0.8543046116828918,0.4346315860748291,0.7716535329818726,0.6336700320243835,2.9999998787388904e-06,fine_tuning,23
0.8576158881187439,0.4515834450721741,0.7795275449752808,0.6346655488014221,2.9999998787388904e-06,fine_tuning,24
0.8311258554458618,0.4986783564090729,0.7795275449752808,0.6198796629905701,2.9999998787388904e-06,fine_tuning,25
0.8493377566337585,0.4810664653778076,0.7716535329818726,0.6206261515617371,2.9999998787388904e-06,fine_tuning,26
0.8675496578216553,0.4135950803756714,0.7795275449752808,0.6232083439826965,2.9999998787388904e-06,fine_tuning,27
