,precision,recall,f1-score,support
Bird-drop,0.6785714285714286,0.76,0.7169811320754716,25.0
Clean,0.6944444444444444,0.8620689655172413,0.7692307692307693,29.0
Dusty,0.6451612903225806,0.7142857142857143,0.6779661016949152,28.0
Electrical-damage,1.0,0.75,0.8571428571428571,16.0
Physical-Damage,1.0,0.8571428571428571,0.9230769230769231,14.0
Snow-Covered,1.0,0.7307692307692307,0.8444444444444444,26.0
accuracy,0.7753623188405797,0.7753623188405797,0.7753623188405797,0.7753623188405797
macro avg,0.836362860556409,0.7790444612858406,0.7981403712775634,138.0
weighted avg,0.8055629763203396,0.7753623188405797,0.7812187655793835,138.0
